Admin1Name,Name_2,Stunting,Stunting Uncertainty,Wasting,Wasting Uncertainty,Underweight,Underweight Uncertainty,Underweight Uncertainty,dataset,,,,,,,,,,,,,,
Eastern,Chadiza,33.2,7.9,2.3,3.4,9.5,4.8,12,dhs,,,,,,,,,,,,,,
Eastern,Chama,32,7.5,5.6,6.2,12.5,5.9,15.5,dhs,,,,,,,,,,,,,,
North-Western,Chavuma,30.9,10.7,3.1,6.7,11.9,7.5,15.9,dhs,,,,,,,,,,,,,,
Central,Chibombo,32.6,5.8,4.8,4.1,10.4,3.6,12.3,dhs,,,,,,,,,,,,,,
Luapula,Chienge,45.4,10.3,7.2,8.1,15.5,7.4,19.6,dhs,,,,,,,,,,,,,,x
Copperbelt,Chililabombwe,33.8,9.6,3,5.4,11.9,6.8,15.7,dhs,,,,,,,,,,,,,,
Northern,Chilubi,45.3,8.3,3.2,4.5,15.4,6.4,18.8,dhs,,,,,,,,,,,,,,
Copperbelt,Chingola,33.5,10.8,2.8,4.4,11.8,7.2,15.8,dhs,,,,,,,,,,,,,,
Northern,Chinsali,38.2,7.3,5.4,5.8,14,5.6,17,dhs,,,,,,,,,,,,,,
Eastern,Chipata,32.2,7.4,2.9,3.4,9.3,4.5,11.7,dhs,,,,,,,,,,,,,,
Southern,Choma,30.6,8.2,3.3,4.2,10.4,5.1,13.2,dhs,,,,,,,,,,,,,,
Lusaka,Chongwe,32.8,6,5.4,5.2,10.7,4,12.8,dhs,,,,,,,,,,,,,,
Southern,Gwembe,30.4,7.2,3.7,6.1,10.9,5.1,13.6,dhs,,,,,,,,,,,,,,
Northern,Isoka,36.9,8.7,12.2,12,14.6,6.9,18.3,dhs,,,,,,,,,,,,,,
Northern,Mafinga,36.9,8.7,12.2,12,14.6,6.9,18.3,dhs,,,,,,,,,,,,,,
Southern,Itezhi-Tezhi,29.2,6.2,3.8,6.1,10.8,5,13.5,dhs,,,,,,,,,,,,,,
North-Western,Kabompo,32.1,8.3,3.3,5.3,12.4,6.4,15.8,dhs,,,,,,,,,,,,,,
Central,Kabwe,31.7,9.2,4.9,6.8,10.8,6,14,dhs,,,,,,,,,,,,,,
Lusaka,Kafue,33.3,9.3,4,4,10.3,5.7,13.4,dhs,,,,,,,,,,,,,,
Western,Kalabo,29.7,8,4.5,5.7,13.4,6.4,16.9,dhs,,,,,,,,,,,,,,
Southern,Kalomo,29.1,6.1,2.9,2.9,10.5,4.5,12.9,dhs,,,,,,,,,,,,,,
Copperbelt,Kalulushi,32.1,7.8,4.9,5.6,11.9,5.6,15,dhs,,,,,,,,,,,,,,
Western,Kaoma,29.7,6.8,3.1,4.5,12.5,5.6,15.6,dhs,,,,,,,,,,,,,,
Central,Kapiri Mposhi,33,6.1,3.3,4,11.1,4.5,13.5,dhs,,,,,,,,,,,,,,
Northern,Kaputa,44.1,8.3,4.4,5.6,14.9,6.2,18.2,dhs,,,,,,,,,,,,,,
Northern,Kasama,41,7.8,2.8,4,14,5.7,17,dhs,,,,,,,,,,,,,,
North-Western,Kasempa,31.4,7.2,3.7,5.5,11.6,5.3,14.4,dhs,,,,,,,,,,,,,,
Eastern,Katete,34.2,7.3,2.3,3,9.9,4.6,12.4,dhs,,,,,,,,,,,,,,
Luapula,Kawambwa,44.8,8,4.8,5.6,15.4,6.4,18.8,dhs,,,,,,,,,,,,,,
Southern,Kazungula,26.9,7,2.7,3.9,10,5,12.7,dhs,,,,,,,,,,,,,,
Copperbelt,Kitwe,30.5,8.8,6.3,6.1,12.1,5.9,15.3,dhs,,,,,,,,,,,,,,
Southern,Livingstone,24.2,10.8,1.9,3.9,9,7.6,13.4,dhs,,,,,,,,,,,,,,
Lusaka,Luangwa,30.9,8.7,5,8.1,11.4,6.3,14.9,dhs,,,,,,,,,,,,,,
Copperbelt,Luanshya,32.8,8.4,5.7,6.4,12.2,6.3,15.7,dhs,,,,,,,,,,,,,,
Copperbelt,Lufwanyama,33.2,6,3.6,4.5,11.7,4.2,13.9,dhs,,,,,,,,,,,,,,
Western,Lukulu,30,7.5,2.9,4,13.3,6,16.5,dhs,,,,,,,,,,,,,,
Eastern,Lundazi,34,7,2.9,3.8,10.9,5.3,13.7,dhs,,,,,,,,,,,,,,
Lusaka,Lusaka,32.6,8.8,4.2,3.9,10.3,5.6,13.4,dhs,,,,,,,,,,,,,,
Northern,Luwingu,44.3,7.1,3.1,4.3,15.1,5.6,18.1,dhs,,,,,,,,,,,,,,
Eastern,Mambwe,31.8,6.8,2.8,4.4,9.9,4.5,12.4,dhs,,,,,,,,,,,,,,
Luapula,Mansa,41.2,7.2,3.8,4.3,13.8,5.6,16.8,dhs,,,,,,,,,,,,,,
Copperbelt,Masaiti,34,7.7,4.4,4.9,12.3,5.7,15.5,dhs,,,,,,,,,,,,,,
Southern,Mazabuka,31,5.7,3.9,4.5,10.3,4.1,12.6,dhs,,,,,,,,,,,,,,
Northern,Mbala,45.5,8.6,3.4,4.3,14.2,5.8,17.5,dhs,,,,,,,,,,,,,,
Luapula,Milenge,39.3,6.7,5.1,8,14.1,5.9,17.3,dhs,,,,,,,,,,,,,,
Central,Mkushi,34.9,5.7,3.1,3.8,11.9,4.5,14.2,dhs,,,,,,,,,,,,,,
Western,Mongu,28.3,8.4,3.1,4.8,13,7.1,17,dhs,,,,,,,,,,,,,,
Southern,Monze,31.6,7,2.5,3.5,10.4,5.2,13.3,dhs,,,,,,,,,,,,,,
Northern,Mpika,37.1,6.8,4.1,5.3,13.3,5.6,16.2,dhs,,,,,,,,,,,,,,
Copperbelt,Mpongwe,32.7,5.9,3.7,5.3,11.4,4.4,13.8,dhs,,,,,,,,,,,,,,
Northern,Mporokoso,45.1,7,3,4.4,15,5.6,18,dhs,,,,,,,,,,,,,,
Northern,Mpulungu,45.4,8.2,3.1,4.7,14.5,6,17.8,dhs,,,,,,,,,,,,,,
Copperbelt,Mufulira,32.5,9.9,4.8,6.3,12.2,6.7,15.9,dhs,,,,,,,,,,,,,,
North-Western,Mufumbwe,30.4,7.2,3.4,5.2,12,5.4,14.9,dhs,,,,,,,,,,,,,,
Central,Mumbwa,30.2,5.2,5.2,5.4,10.1,4,12.3,dhs,,,,,,,,,,,,,,
Northern,Mungwi,40.9,7.3,3.2,3.8,14,5.4,17,dhs,,,,,,,,,,,,,,
Luapula,Mwense,43.1,8.5,4.3,6.1,14.6,6.6,18.2,dhs,,,,,,,,,,,,,,
North-Western,Ikelenge,36.8,10.2,3.6,4.9,13.6,7.4,17.6,dhs,,,,,,,,,,,,,,
North-Western,Mwinilunga,36.8,10.2,3.6,4.9,13.6,7.4,17.6,dhs,,,,,,,,,,,,,,
Northern,Nakonde,37.6,9.2,6.8,8.3,14.1,7.1,17.9,dhs,,,,,,,,,,,,,,
Southern,Namwala,30,6.3,3.1,4.4,10.1,4.4,12.5,dhs,,,,,,,,,,,,,,
Luapula,Nchelenge,44.2,8.9,5.7,6.9,15.6,7.2,19.5,dhs,,,,,,,,,,,,,,
Copperbelt,Ndola,32.2,8.9,4.8,5.7,12.3,6.4,15.8,dhs,,,,,,,,,,,,,,
Eastern,Nyimba,32.3,7.1,3.3,4.6,11.5,5.3,14.4,dhs,,,,,,,,,,,,,,
Eastern,Petauke,33.6,6.6,2.5,3.1,10.7,4.8,13.3,dhs,,,,,,,,,,,,,,
Luapula,Samfya,44.2,7.9,3.9,4.9,14.9,5.8,18,dhs,,,,,,,,,,,,,,
Western,Senanga,29.1,8,3,3.9,13,6.3,16.4,dhs,,,,,,,,,,,,,,
Central,Serenje,37.2,6.8,3.6,5,13.1,5.6,16,dhs,,,,,,,,,,,,,,
Western,Sesheke,27.4,7.7,4.7,6.7,11.7,6.1,15,dhs,,,,,,,,,,,,,,
Western,Shang'ombo,28.4,8.4,3.3,5,12.9,6.7,16.6,dhs,,,,,,,,,,,,,,
Southern,Siavonga,30.5,7.9,5,8.7,11.1,5.7,14.2,dhs,,,,,,,,,,,,,,
Southern,Sinazongwe,29,7.7,2.7,4.8,10.5,5.4,13.4,dhs,,,,,,,,,,,,,,
North-Western,Solwezi,34.9,7.9,3.6,4.6,12,5.4,15,dhs,,,,,,,,,,,,,,
North-Western,Zambezi,31.2,8.7,2.8,4.5,12.2,6.4,15.7,dhs,,,,,,,,,,,,,,
